"ID","P1","P2","Distance","MSG","DateTime"
1,781,782,164,"ALERT","2020-11-18 16:30:39.151779"
2,2932,2933,79,"ALERT","2020-11-18 16:32:48.018562"
3,2934,2935,86,"ALERT","2020-11-18 16:32:49.081154"
4,2936,2937,94,"ALERT","2020-11-18 16:32:50.142609"
5,2938,2939,179,"ALERT","2020-11-18 16:32:51.213155"
6,2938,2939,179,"ALERT","2020-11-18 16:32:52.215482"
7,2938,2940,93,"ALERT","2020-11-18 16:32:53.224833"
8,2939,2940,145,"ALERT","2020-11-18 16:32:54.228479"
9,3001,3002,188,"ALERT","2020-11-18 16:33:14.081102"
10,3105,3106,205,"normal","2020-11-18 16:33:27.413286"
11,3111,3112,87,"ALERT","2020-11-18 16:33:27.723321"
12,3118,3119,110,"ALERT","2020-11-18 16:33:29.084129"
13,3135,3136,114,"ALERT","2020-11-18 16:33:31.100146"
14,3152,3153,136,"ALERT","2020-11-18 16:33:33.103583"
15,3223,3224,132,"ALERT","2020-11-18 16:33:39.080663"
16,3225,3226,130,"ALERT","2020-11-18 16:33:40.144441"
17,3227,3228,123,"ALERT","2020-11-18 16:33:41.207017"
18,3260,3261,135,"ALERT","2020-11-18 16:33:44.275981"
19,3271,3272,107,"ALERT","2020-11-18 16:33:47.440166"
20,3277,3278,196,"ALERT","2020-11-18 16:33:48.753302"
21,3280,3281,160,"ALERT","2020-11-18 16:33:49.872612"
22,3283,3284,220,"normal","2020-11-18 16:33:50.992186"
23,3285,3286,226,"normal","2020-11-18 16:33:51.059434"
24,3287,3288,220,"normal","2020-11-18 16:33:51.124601"
25,3289,3290,218,"normal","2020-11-18 16:33:51.191436"
26,3291,3292,217,"normal","2020-11-18 16:33:51.256268"
27,3293,3294,197,"ALERT","2020-11-18 16:33:51.322114"
28,3295,3296,168,"ALERT","2020-11-18 16:33:52.387028"
29,3297,3298,186,"ALERT","2020-11-18 16:33:53.456246"
30,3299,3300,170,"ALERT","2020-11-18 16:33:54.521983"
31,3301,3302,173,"ALERT","2020-11-18 16:33:55.587747"
32,3306,3307,166,"ALERT","2020-11-18 16:33:56.836399"
33,3310,3311,172,"ALERT","2020-11-18 16:33:58.014393"
34,3312,3313,141,"ALERT","2020-11-18 16:33:59.076153"
35,3314,3315,166,"ALERT","2020-11-18 16:34:00.137326"
36,3316,3317,177,"ALERT","2020-11-18 16:34:01.203787"
37,3318,3319,186,"ALERT","2020-11-18 16:34:02.269137"
38,3329,3330,197,"ALERT","2020-11-18 16:34:05.930891"
39,3371,3372,155,"ALERT","2020-11-18 16:34:09.427224"
40,3373,3374,153,"ALERT","2020-11-18 16:34:10.488293"
41,3386,3387,188,"ALERT","2020-11-18 16:34:12.234115"
42,3388,3389,243,"normal","2020-11-18 16:34:13.297483"
43,3390,3391,226,"normal","2020-11-18 16:34:13.360104"
44,3392,3393,244,"normal","2020-11-18 16:34:13.422119"
45,3394,3395,243,"normal","2020-11-18 16:34:13.487126"
46,3396,3397,260,"normal","2020-11-18 16:34:13.550083"
47,3398,3399,261,"normal","2020-11-18 16:34:13.612762"
48,3400,3401,263,"normal","2020-11-18 16:34:13.673181"
49,3400,3401,263,"normal","2020-11-18 16:34:13.675108"
50,3400,3402,207,"normal","2020-11-18 16:34:13.678343"
51,3401,3402,56,"ALERT","2020-11-18 16:34:13.680713"
52,3403,3404,263,"normal","2020-11-18 16:34:14.742093"
53,3403,3404,263,"normal","2020-11-18 16:34:14.744137"
54,3403,3405,231,"normal","2020-11-18 16:34:14.745782"
55,3404,3405,32,"ALERT","2020-11-18 16:34:14.748208"
56,3406,3407,263,"normal","2020-11-18 16:34:15.816307"
57,3406,3407,263,"normal","2020-11-18 16:34:15.818645"
58,3406,3408,228,"normal","2020-11-18 16:34:15.823630"
59,3407,3408,35,"ALERT","2020-11-18 16:34:15.829355"
60,3409,3410,264,"normal","2020-11-18 16:34:16.891196"
61,3411,3412,273,"normal","2020-11-18 16:34:16.952491"
62,3413,3414,262,"normal","2020-11-18 16:34:17.016381"
63,3415,3416,272,"normal","2020-11-18 16:34:17.079230"
64,3417,3418,273,"normal","2020-11-18 16:34:17.141478"
65,3419,3420,273,"normal","2020-11-18 16:34:17.202272"
66,3421,3422,273,"normal","2020-11-18 16:34:17.265610"
67,3423,3424,263,"normal","2020-11-18 16:34:17.331591"
68,3425,3426,263,"normal","2020-11-18 16:34:17.393925"
69,3427,3428,262,"normal","2020-11-18 16:34:17.457776"
70,3429,3430,262,"normal","2020-11-18 16:34:17.518121"
71,3431,3432,260,"normal","2020-11-18 16:34:17.582176"
72,3433,3434,269,"normal","2020-11-18 16:34:17.646259"
73,3435,3436,270,"normal","2020-11-18 16:34:17.718038"
74,3437,3438,259,"normal","2020-11-18 16:34:17.784759"
75,3439,3440,259,"normal","2020-11-18 16:34:17.847139"
76,3441,3442,272,"normal","2020-11-18 16:34:17.910944"
77,3443,3444,274,"normal","2020-11-18 16:34:17.975495"
78,3445,3446,265,"normal","2020-11-18 16:34:18.036186"
79,3453,3454,260,"normal","2020-11-18 16:34:18.487976"
80,3455,3456,267,"normal","2020-11-18 16:34:18.551840"
81,3464,3465,262,"normal","2020-11-18 16:34:19.038919"
82,3466,3467,264,"normal","2020-11-18 16:34:19.101837"
83,3468,3469,222,"normal","2020-11-18 16:34:19.161702"
84,3470,3471,225,"normal","2020-11-18 16:34:19.220553"
85,3472,3473,263,"normal","2020-11-18 16:34:19.280475"
86,3472,3473,263,"normal","2020-11-18 16:34:19.282528"
87,3472,3474,226,"normal","2020-11-18 16:34:19.286119"
88,3473,3474,37,"ALERT","2020-11-18 16:34:19.292186"
89,3475,3476,216,"normal","2020-11-18 16:34:20.352370"
90,3477,3478,220,"normal","2020-11-18 16:34:20.411360"
91,3479,3480,201,"normal","2020-11-18 16:34:20.470015"
92,3481,3482,201,"normal","2020-11-18 16:34:20.536623"
93,3483,3484,196,"ALERT","2020-11-18 16:34:20.600014"
94,3485,3486,174,"ALERT","2020-11-18 16:34:21.662706"
95,3487,3488,254,"normal","2020-11-18 16:34:22.726113"
96,3487,3488,254,"normal","2020-11-18 16:34:22.730617"
97,3487,3489,196,"ALERT","2020-11-18 16:34:22.735492"
98,3488,3489,58,"ALERT","2020-11-18 16:34:23.744818"
99,3527,3528,263,"normal","2020-11-18 16:34:27.145243"
100,3527,3528,263,"normal","2020-11-18 16:34:27.150730"
101,3527,3529,236,"normal","2020-11-18 16:34:27.154889"
102,3528,3529,27,"ALERT","2020-11-18 16:34:27.160322"
